text,label
"<sent-1> article 32 (1) having received proof that a missing person is alive or that a missing person died at a time different from the time set forth in the preceding article, the family court, at the request of the missing person or an interested person, must rescind the declaration of that person's disappearance. in this case, the rescission does not affect the validity of any act performed in good faith after the declaration of disappearance but before the rescission thereof.
(2) a person who has acquired property due to a declaration of disappearance loses the rights in question due to its rescission; provided, however, that the person has the obligation to return that property only to the extent currently enriched.<sent-1> <sent-2> in the event that a declaration of disappearance is rescinded, a person who has acquired property due to the declaration of disappearance must return to the missing person the full amount of the benefits received from the acquisition of the property, even if the person acted in good faith regarding the survival of the missing person.<sent-2>",0
"<sent-1> article 30 (1) if it has been unclear for seven years whether an absentee is dead or alive, the family court may enter a declaration of disappearance at the request of an interested person.
(2) the provisions of the preceding paragraph also apply if it has been unclear whether a person who has entered a war zone, was aboard a vessel that has sunk, or was otherwise exposed to a danger likely to result in a person's death is dead or alive, for one year after the war has ended, the vessel sank, or such other danger has passed.
article 31 a person subject to a declaration of disappearance pursuant to the provisions of paragraph (1) of the preceding article is deemed to have died when the period of time referred to in that paragraph ended, and a person subject to a declaration of disappearance pursuant to the provisions of paragraph (2) of that article is deemed to have died when that danger had passed.<sent-1> <sent-2> when a declaration of disappearance is made on the grounds that it has been unclear whether a person who was exposed to a danger likely to result in a person's death is dead or alive for one year after the danger has passed, the person subject to the declaration of disappearance is deemed to have died when that danger had passed.<sent-2>",1
"<sent-1> article 32 (1) having received proof that a missing person is alive or that a missing person died at a time different from the time set forth in the preceding article, the family court, at the request of the missing person or an interested person, must rescind the declaration of that person's disappearance. in this case, the rescission does not affect the validity of any act performed in good faith after the declaration of disappearance but before the rescission thereof.<sent-1> <sent-2> if a, who was subject to a declaration of disappearance and was deemed to have died, had purchased land x from b before the declaration of disappearance was rescinded, this sales contract is effective only if b acted in good faith regarding the declaration of disappearance.<sent-2>",0
"<sent-1> article 93 (1) the validity of a manifestation of intention is not impaired even if the person making it does so while knowing that it does not reflect that person's true intention; provided, however, that if the other party knew or could have known that the manifestation was not the true intention of the person who made it, that manifestation of intention is void.
(2) the nullity of a manifestation of intention under the provisions of the proviso to the preceding paragraph may not be duly asserted against a third party in good faith.<sent-1> <sent-2> where a person made a manifestation of intention while knowing that it does not reflect that person’s true intention, even if the other party did not specifically know the true intention of the person who made the manifestation, the manifestation of intention is void if the other party knew or could have known that the manifestation of intention was not the true intention of the person who made it.<sent-2>",1
"<sent-1> article 96 (1) a manifestation of intention based on fraud or duress is voidable.
(2) if a third party commits a fraud inducing a first party to make a manifestation of intention to a second party, that manifestation of intention is voidable only if the second party knew or could have known that fact.
(3) the rescission of a manifestation of intention induced by fraud under the provisions of the preceding two paragraphs may not be duly asserted against a third party in good faith acting without negligence.<sent-1> <sent-2> if a third party commits a fraud inducing a first party to make a manifestation of intention to a second party, the first party may void the manifestation of intention even if the second party did not know that fact but could have known it.<sent-2>",1
"<sent-1> article 93 (1) the validity of a manifestation of intention is not impaired even if the person making it does so while knowing that it does not reflect that person's true intention; provided, however, that if the other party knew or could have known that the manifestation was not the true intention of the person who made it, that manifestation of intention is void.
(2) the nullity of a manifestation of intention under the provisions of the proviso to the preceding paragraph may not be duly asserted against a third party in good faith.<sent-1> <sent-2> if the manifestation of intention of a person is held void on the ground that it does not reflect that person’s true intention, such nullity may be duly asserted against a third party in good faith acting with negligence.<sent-2>",0
"<sent-1> article 96 (1) a manifestation of intention based on fraud or duress is voidable.
(2) if a third party commits a fraud inducing a first party to make a manifestation of intention to a second party, that manifestation of intention is voidable only if the second party knew or could have known that fact.
(3) the rescission of a manifestation of intention induced by fraud under the provisions of the preceding two paragraphs may not be duly asserted against a third party in good faith acting without negligence.<sent-1> <sent-2> the rescission of a manifestation of intention induced by duress may not be duly asserted against a third party in good faith acting without negligence.<sent-2>",0
"<sent-1> article 98-2 any person may not assert a manifestation of intention against the other party thereto if that other party had no mental capacity or was a minor or an adult ward at the time of receiving it; provided, however, that this does not apply after either of the following persons learns of the manifestation of intention:
(i) the legal representative of the other party; or
(ii) the other party, after that other party's mental capacity has been restored or after that other party has become a person with capacity to act.<sent-1> <sent-2> a sent a notice of intention to cancel the contract to b, who is a minor, b received the notice, and b's legal representative learned the manifestation of intention to cancel. in this case, a may assert against b the manifestation of intention.<sent-2>",1
"<sent-1> article 97 (1) a manifestation of intention becomes effective at the time notice thereof reaches the other party.
(2) if the other party prevents notice of a manifestation of intention from reaching them without a legitimate reason, the notice is deemed to have reached that party at the time it would have normally reached them.
(3) the effect of a manifestation of intention is not impaired even if the person making it dies, loses mental capacity, or becomes subject to restrictions on their legal capacity to act after having sent the notice.<sent-1> <sent-2> a sent a notice of intention to cancel the contract to b by e-mail, but the notice did not reach b due to a problem with the communication system. in this case, a’s manifestation of intention to cancel is effective.<sent-2>",0
"<sent-1> article 97 (1) a manifestation of intention becomes effective at the time notice thereof reaches the other party.
(2) if the other party prevents notice of a manifestation of intention from reaching them without a legitimate reason, the notice is deemed to have reached that party at the time it would have normally reached them.
(3) the effect of a manifestation of intention is not impaired even if the person making it dies, loses mental capacity, or becomes subject to restrictions on their legal capacity to act after having sent the notice.<sent-1> <sent-2> a repeatedly sent b a notice of intention to cancel the contract, but b refused to receive it without a legitimate reason. in this case, a's manifestation of intention to cancel is deemed to have reached b.<sent-2>",1
